Designator,Mid X,Mid Y,Rotation,Layer
C101,197.475,-76.625,180.0,bottom
C102,180.3,-91.75,90.0,bottom
C103,185.7,-91.35,90.0,bottom
C104,190.85,-103.7,270.0,bottom
C105,195.15,-89.75,90.0,bottom
C106,186.4,-97.0,0.0,bottom
C107,193.5,-89.75,90.0,bottom
C108,186.4,-93.7,0.0,bottom
C109,186.4,-98.7,0.0,bottom
C110,192.5,-103.7,270.0,bottom
C111,199.65,-100.1,270.0,bottom
C112,198.0,-100.1,270.0,bottom
C113,183.2,-101.6,180.0,bottom
C114,179.8,-101.6,0.0,bottom
C115,188.65,-91.35,90.0,bottom
C116,186.4,-95.35,0.0,bottom
C117,205.65,-99.35,0.0,bottom
C118,194.6,-117.1,270.0,bottom
C119,194.65,-108.55,270.0,bottom
C201,167.375,-88.75,180.0,bottom
C202,186.375,-88.75,180.0,bottom
C203,210.125,-88.75,180.0,bottom
C204,229.125,-88.75,180.0,bottom
C205,248.125,-88.75,180.0,bottom
C206,267.125,-88.75,180.0,bottom
C207,167.375,-117.25,180.0,bottom
C208,186.375,-117.25,180.0,bottom
C209,210.125,-117.25,180.0,bottom
C210,229.125,-117.25,180.0,bottom
C211,248.125,-117.25,180.0,bottom
C212,267.125,-117.25,180.0,bottom
C213,167.375,-136.25,180.0,bottom
C214,186.375,-136.25,180.0,bottom
C215,210.125,-136.25,180.0,bottom
C216,229.125,-136.25,180.0,bottom
C217,248.125,-136.25,180.0,bottom
C218,267.125,-145.75,180.0,bottom
C219,167.375,-155.25,180.0,bottom
C220,186.375,-155.25,180.0,bottom
C221,210.125,-155.25,180.0,bottom
C222,229.125,-155.25,180.0,bottom
C223,248.125,-155.25,180.0,bottom
C224,167.375,-174.25,180.0,bottom
C225,186.375,-174.25,180.0,bottom
C226,210.125,-174.25,180.0,bottom
C227,229.125,-174.25,180.0,bottom
C228,248.125,-174.25,180.0,bottom
C229,267.125,-183.75,180.0,bottom
C230,167.375,-193.25,180.0,bottom
C231,186.375,-193.25,180.0,bottom
C232,219.625,-193.25,180.0,bottom
C233,248.125,-193.25,180.0,bottom
D201,162.0,-88.0,180.0,bottom
D202,181.0,-88.0,180.0,bottom
D203,204.75,-88.0,180.0,bottom
D204,223.75,-88.0,180.0,bottom
D205,242.75,-88.0,180.0,bottom
D206,261.75,-88.0,180.0,bottom
D207,162.0,-116.5,180.0,bottom
D208,181.0,-116.5,180.0,bottom
D209,204.75,-116.5,180.0,bottom
D210,223.75,-116.5,180.0,bottom
D211,242.75,-116.5,180.0,bottom
D212,261.75,-116.5,180.0,bottom
D213,162.0,-135.5,180.0,bottom
D214,181.0,-135.5,180.0,bottom
D215,204.75,-135.5,180.0,bottom
D216,223.75,-135.5,180.0,bottom
D217,242.75,-135.5,180.0,bottom
D218,261.75,-145.0,180.0,bottom
D219,162.0,-154.5,180.0,bottom
D220,181.0,-154.5,180.0,bottom
D221,204.75,-154.5,180.0,bottom
D222,223.75,-154.5,180.0,bottom
D223,242.75,-154.5,180.0,bottom
D224,162.0,-173.5,180.0,bottom
D225,181.0,-173.5,180.0,bottom
D226,204.75,-173.5,180.0,bottom
D227,223.75,-173.5,180.0,bottom
D228,242.75,-173.5,180.0,bottom
D229,261.75,-183.0,180.0,bottom
D230,162.0,-192.5,180.0,bottom
D231,181.0,-192.5,180.0,bottom
D232,214.25,-192.5,180.0,bottom
D233,242.75,-192.5,180.0,bottom
D301,154.8,-87.5,90.0,bottom
D302,173.8,-87.5,90.0,bottom
D303,197.55,-87.5,90.0,bottom
D304,216.55,-87.5,90.0,bottom
D305,235.55,-87.5,90.0,bottom
D306,254.55,-87.5,90.0,bottom
D307,154.8,-116.0,90.0,bottom
D308,173.8,-116.0,90.0,bottom
D309,197.55,-116.0,90.0,bottom
D310,216.55,-116.0,90.0,bottom
D311,235.55,-116.0,90.0,bottom
D312,254.55,-116.0,90.0,bottom
D313,154.8,-135.0,90.0,bottom
D314,173.8,-135.0,90.0,bottom
D315,197.55,-135.0,90.0,bottom
D316,216.55,-135.0,90.0,bottom
D317,235.55,-135.0,90.0,bottom
D318,254.55,-144.5,90.0,bottom
D319,154.8,-154.0,90.0,bottom
D320,173.8,-154.0,90.0,bottom
D321,197.55,-154.0,90.0,bottom
D322,216.55,-154.0,90.0,bottom
D323,235.55,-154.0,90.0,bottom
D324,154.8,-173.0,90.0,bottom
D325,173.8,-173.0,90.0,bottom
D326,197.55,-173.0,90.0,bottom
D327,216.55,-173.0,90.0,bottom
D328,235.55,-173.0,90.0,bottom
D329,254.55,-182.5,90.0,bottom
D330,154.8,-192.0,90.0,bottom
D331,173.8,-192.0,90.0,bottom
D332,207.05,-192.0,90.0,bottom
D333,235.55,-192.0,90.0,bottom
J101,176.49,-101.25,270.0,top
J102,192.875,-70.3,180.0,bottom
J103,219.6,-93.1,90.0,top
R101,195.0,-77.375,270.0,bottom
R102,189.975,-77.375,270.0,bottom
R103,202.95,-100.1,90.0,bottom
R104,178.025,-98.65,0.0,bottom
R105,191.85,-89.75,270.0,bottom
R106,190.2,-89.75,270.0,bottom
R107,201.3,-100.1,90.0,bottom
R108,194.1,-103.7,90.0,bottom
SW101,229.75,-97.9001,0.0,bottom
SW102,170.35,-95.4499,180.0,bottom
SW301,162.0,-83.5,0.0,bottom
SW302,181.0,-83.5,0.0,bottom
SW303,204.75,-83.5,0.0,bottom
SW304,223.75,-83.5,0.0,bottom
SW305,242.75,-83.5,0.0,bottom
SW306,261.75,-83.5,0.0,bottom
SW307,162.0,-112.0,0.0,bottom
SW308,181.0,-112.0,0.0,bottom
SW309,204.75,-112.0,0.0,bottom
SW310,223.75,-112.0,0.0,bottom
SW311,242.75,-112.0,0.0,bottom
SW312,261.75,-112.0,0.0,bottom
SW313,162.0,-131.0,0.0,bottom
SW314,181.0,-131.0,0.0,bottom
SW315,204.75,-131.0,0.0,bottom
SW316,223.75,-131.0,0.0,bottom
SW317,242.75,-131.0,0.0,bottom
SW318,261.75,-140.5,0.0,bottom
SW319,162.0,-150.0,0.0,bottom
SW320,181.0,-150.0,0.0,bottom
SW321,204.75,-150.0,0.0,bottom
SW322,223.75,-150.0,0.0,bottom
SW323,242.75,-150.0,0.0,bottom
SW324,162.0,-169.0,0.0,bottom
SW325,181.0,-169.0,0.0,bottom
SW326,204.75,-169.0,0.0,bottom
SW327,223.75,-169.0,0.0,bottom
SW328,242.75,-169.0,0.0,bottom
SW329,261.75,-178.5,0.0,bottom
SW330,162.0,-188.0,0.0,bottom
SW331,181.0,-188.0,0.0,bottom
SW332,214.25,-188.0,0.0,bottom
SW333,242.75,-188.0,0.0,bottom
U101,183.0,-91.75,180.0,bottom
U102,192.4,-77.65,180.0,bottom
U103,181.5,-99.3,180.0,bottom
U104,192.85,-97.6,0.0,bottom
U105,202.7,-95.65,180.0,bottom
Y101,191.1,-112.1,90.0,bottom
